,Distribution:,Features:,Life form:,Origin:,Pathways:,What is at risk:,disease_image,disease_name,disease_url
0,"Americas and the Caribbean, India, Iran, Europe,","Scorched leaves, browning and loss of leaves,",Bacterium,Americas,"Imported plant propagative material, insect vectors",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/1-xylella.jpg,Xylella fastidiosa,http://www.agriculture.gov.au/pests-diseases-weeds/plant/xylella
1,"Middle East, Asia, Africa and Mediterranean.","Adult – tiny, dark brown, oval shaped, covered in dense",Insect,India,"Imported grain, foodstuffs, personal effects, machinery",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/2-khapra.jpg,Khapra beetle,http://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle
2,"Asia, Africa, Europe, Middle East, Pacific Islands,","Tephritids - 2.5–10 mm, colourful, pictured wings;",Insect,Asia,"Import of infested fruit, movement in Torres Strait",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/3-exotic-fruit-fly.jpg,Fruit flies,http://www.agriculture.gov.au/pests-diseases-weeds/plant/fruit-flies
3,"India, Middle East, South Africa, Brazil, Mexico,","Broken hollow grain, powdery masses of dark spores",Fungus,India,"Wheat seeds, soil, agricultural products, machinery",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/4-karnal-bunt.jpg,Karnal bunt,http://www.agriculture.gov.au/pests-diseases-weeds/plant/karnal-bunt
4,"Varies, depending on the species","Yellowing, blotchy mottling and unseasonal leaf",Bacterium,Asia and  Africa,"Imported plant propagative material, infected insects",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/5-huanglongbing.jpg,Huanglongbing,http://www.agriculture.gov.au/pests-diseases-weeds/plant/huanglongbing
5,"Asia, Europe, North Africa, North America","Males and female moths differ in sizing and colour,",Insect,"China, East Russia, Southern Europe and Northern Africa","Nursery stock, freight, cargo ships, containers",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/6-exotic-gypsy-moth.jpg,Gypsy moth,http://www.agriculture.gov.au/pests-diseases-weeds/plant/exotic-gypsy-moth
6,"Asia, Africa, North America, Central America,","Classic ant body shape, under 5 mm, ability to",Insect,"Varies, depending on the species","Imported goods, travellers",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/7-tramp-ant.jpg,Tramp ants,http://www.agriculture.gov.au/pests-diseases-weeds/plant/tramp-ants
7,Varies depending on the species,"Four pairs of legs, 0.5 mm x 1 mm (tropilaelaps),",Mite,"Asia (tropilaelaps and varroa mites), unknown (tracheal)",Feral bee swarms transported on containers or ships,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/8-mites-bees.jpg,Internal and external mites of bees,http://www.agriculture.gov.au/pests-diseases-weeds/plant/bees
8,"Asia, Africa, North America, Central America,","Large, long and narrow conical shell, eggs",Snail,Eastern Africa,"Imported goods, illegal importation as pets",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/9-giant-african-snail.jpg,Giant African snail,http://www.agriculture.gov.au/pests-diseases-weeds/plant/giant-african-snail
9,"East Asia, North America and Europe","Shield shape, adults are mottled reddish-brown,",Insect,East Asia,"Hitchhiker on imported goods, vessels and aircrafts",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/10-brown-marm-stink-bug.jpg,Brown marmorated stink bug,http://www.agriculture.gov.au/pests-diseases-weeds/plant/brown-marmorated-stink-bug
